trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
665,False,"{'a': 0.18, 'e': 0.07022857496426901}",30,8,27.288191809241276,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
666,False,"{'a': 0.18, 'e': 0.06994822174465536}",25,12,-1.755003339746127,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
667,False,"{'a': 0.18, 'e': 0.06966898769808184}",30,10,33.00335566996417,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.18, 'e': 0.06939086835679777}",20,0,19.461230266860625,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
669,False,"{'a': 0.18, 'e': 0.06911385927088774}",20,11,14.873192223695765,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.18, 'e': 0.06883795600820049}",25,14,19.105246520547354,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.18, 'e': 0.06856315415427791}",30,10,12.794427393343707,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
672,False,"{'a': 0.18, 'e': 0.06828944931228448}",20,10,19.749181434480757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.18, 'e': 0.06801683710293688}",25,8,30.89682983215945,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.18, 'e': 0.06774531316443397}",25,3,24.492720451966875,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
675,False,"{'a': 0.18, 'e': 0.0674748731523869}",20,13,13.199355246626826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.18, 'e': 0.06720551273974976}",30,8,-4.592354897793474,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
677,False,"{'a': 0.18, 'e': 0.06693722761675015}",20,9,19.500136100914922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.18, 'e': 0.06667001349082043}",30,22,15.981746933248559,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.18, 'e': 0.06640386608652883}",20,10,18.913458177353952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.18, 'e': 0.06613878114551125}",30,22,17.041879175776863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.18, 'e': 0.06587475442640295}",30,12,30.581172414727835,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.18, 'e': 0.0656117817047708}",20,4,17.72374687227795,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
683,False,"{'a': 0.18, 'e': 0.06534985877304565}",20,10,16.01595135392413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.18, 'e': 0.065088981440455}",20,13,10.26044162698381,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.18, 'e': 0.06482914553295596}",30,11,19.475700288885502,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
686,False,"{'a': 0.18, 'e': 0.06457034689316847}",20,8,20.33671897979059,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.18, 'e': 0.06431258138030878}",30,15,11.993818636878151,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
688,False,"{'a': 0.18, 'e': 0.06405584487012317}",20,1,24.563648929355427,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.18, 'e': 0.063800133254822}",20,5,5.2850850777031,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
690,False,"{'a': 0.18, 'e': 0.063545442443014}",20,8,23.121876690148984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.18, 'e': 0.0632917683596407}",20,13,14.670362976645194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.18, 'e': 0.0630391069459114}",25,16,17.739176495110286,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.18, 'e': 0.06278745415923806}",20,12,14.7109606049467,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.18, 'e': 0.06253680597317074}",20,16,7.619346738973176,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.18, 'e': 0.0622871583773331}",25,6,34.32127115119232,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.18, 'e': 0.06203850737735829}",25,13,22.69898538606902,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.18, 'e': 0.061790848994825016}",20,10,-4.526859564400039,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
698,False,"{'a': 0.18, 'e': 0.06154417926719386}",30,21,13.804896364330844,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.18, 'e': 0.061298494247743925}",20,7,23.958755134568648,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.18, 'e': 0.06105379000550965}",30,21,16.93566082767359,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.18, 'e': 0.06081006262521795}",20,7,26.265180755692,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.18, 'e': 0.060567308207225536}",20,10,16.682807290781824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.18, 'e': 0.06032552286745654}",25,19,12.706245497819426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.18, 'e': 0.06008470273734036}",30,0,40.83532746463841,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
705,False,"{'a': 0.18, 'e': 0.059844843963749825}",20,8,21.77299750092665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.18, 'e': 0.05960594270893937}",30,11,19.90570729769619,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
707,False,"{'a': 0.18, 'e': 0.05936799515048385}",25,1,32.31367240841985,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.18, 'e': 0.05913099748121725}",25,7,20.273249072142296,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.18, 'e': 0.05889494590917182}",25,18,12.402151864032069,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.18, 'e': 0.05865983665751736}",20,10,9.268273523815099,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
711,False,"{'a': 0.18, 'e': 0.05842566596450083}",30,16,-12.490087280353354,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
712,False,"{'a': 0.18, 'e': 0.05819243008338615}",25,15,16.369105968379344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.18, 'e': 0.057960125282394234}",25,2,31.396098238957965,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.18, 'e': 0.05772874784464333}",25,0,29.88629081285292,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
715,False,"{'a': 0.18, 'e': 0.057498294068089484}",20,13,12.518775839628388,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.18, 'e': 0.05726876026546736}",20,8,16.762129011584115,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.18, 'e': 0.057040142764231215}",25,13,23.48099332146397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.18, 'e': 0.056812437906496156}",20,3,11.802486870079449,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
719,False,"{'a': 0.18, 'e': 0.056585642048979604}",20,0,34.293508076730596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
720,False,"{'a': 0.18, 'e': 0.05635975156294299}",35,13,38.98749749740727,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.18, 'e': 0.056134762834133725}",25,13,23.51592648705047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.18, 'e': 0.055910672262727355}",20,4,16.1344520195213,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
723,False,"{'a': 0.18, 'e': 0.05568747626326995}",25,17,11.32745127809385,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.18, 'e': 0.05546517126462075}",25,20,8.15770676967039,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.18, 'e': 0.055243753709895045}",30,9,37.314717921321815,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.18, 'e': 0.05502322005640723}",20,8,20.605336670178016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.18, 'e': 0.054803566775614154}",25,13,21.28737450726943,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.18, 'e': 0.054584790353058625}",20,11,5.347286628864026,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
729,False,"{'a': 0.18, 'e': 0.05436688728831322}",20,13,12.333857730418131,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.18, 'e': 0.05414985409492427}",20,15,6.976868011326699,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.18, 'e': 0.05393368730035602}",20,14,9.564339746859194,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.18, 'e': 0.053718383445935165}",20,13,1.3249689563356772,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
733,False,"{'a': 0.18, 'e': 0.05350393908679544}",20,14,11.417843277150062,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.18, 'e': 0.053290350791822524}",25,15,16.744559189301143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
