trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.18, 'e': 0.835270211411272}",20,0,-142.27420562089182,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
47,False,"{'a': 0.18, 'e': 0.8319358038266718}",25,0,-27.776843925175598,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.18, 'e': 0.8286147072326806}",30,0,-82.11380267676074,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
49,False,"{'a': 0.18, 'e': 0.8253068684916823}",35,1,-107.5217582512159,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 2}",1
50,False,"{'a': 0.18, 'e': 0.8220122346781865}",20,0,-98.35388914143314,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.18, 'e': 0.8187307530779818}",30,0,-170.73627888882842,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
52,False,"{'a': 0.18, 'e': 0.8154623711872927}",20,0,-88.23389923433321,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.18, 'e': 0.812207036711939}",20,0,-84.49414308513734,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
54,False,"{'a': 0.18, 'e': 0.8089646975664998}",20,6,-64.88485748070283,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
55,False,"{'a': 0.18, 'e': 0.8057353018734796}",20,0,-79.11521037461335,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.18, 'e': 0.8025187979624785}",25,0,-111.20096769824752,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
57,False,"{'a': 0.18, 'e': 0.7993151343693651}",20,0,-107.50072246837833,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
58,False,"{'a': 0.18, 'e': 0.7961242598354538}",20,8,-69.53189206411041,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
59,False,"{'a': 0.18, 'e': 0.7929461233066837}",20,0,-77.17077407223678,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.18, 'e': 0.7897806739328027}",30,0,-24.65114677410312,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.18, 'e': 0.7866278610665535}",25,18,11.901287833572447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.18, 'e': 0.7834876342628625}",25,14,-7.896993087852268,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.18, 'e': 0.7803599432780343}",25,0,-24.075306328875396,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.18, 'e': 0.7772447380689461}",30,0,-135.93212074392898,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
65,False,"{'a': 0.18, 'e': 0.7741419687922484}",25,0,-23.611762748083162,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.18, 'e': 0.7710515858035663}",20,0,-40.01453486002453,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.18, 'e': 0.7679735396567061}",20,0,-17.135145722957997,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.18, 'e': 0.764907781102864}",20,0,-54.894829808505534,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.18, 'e': 0.7618542610898376}",25,14,-12.9264482773938,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.18, 'e': 0.7588129307612413}",25,0,-148.42467355567112,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
71,False,"{'a': 0.18, 'e': 0.7557837414557255}",30,10,-37.02841931279065,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.18, 'e': 0.7527666447061963}",20,0,-84.49424781482608,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
73,False,"{'a': 0.18, 'e': 0.7497615922390413}",20,0,-11.887975372671313,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.18, 'e': 0.7467685359733571}",25,0,-61.279805569991794,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.18, 'e': 0.7437874280201796}",30,0,-145.39349681371286,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
76,False,"{'a': 0.18, 'e': 0.7408182206817179}",35,11,-55.05995736879818,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 0}",1
77,False,"{'a': 0.18, 'e': 0.7378608664505911}",25,3,-87.98044925342761,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
78,False,"{'a': 0.18, 'e': 0.7349153180090687}",20,0,-164.40425637643645,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
79,False,"{'a': 0.18, 'e': 0.7319815282283126}",20,0,-76.71605799199133,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.18, 'e': 0.7290594501676237}",30,13,-89.89648886563815,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
81,False,"{'a': 0.18, 'e': 0.7261490370736909}",25,0,-23.20069529158578,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.18, 'e': 0.7232502423798424}",25,3,-65.68259106627144,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
83,False,"{'a': 0.18, 'e': 0.7203630197053014}",30,0,-45.423803945164835,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
84,False,"{'a': 0.18, 'e': 0.7174873228544433}",25,0,-75.60892940600866,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
85,False,"{'a': 0.18, 'e': 0.7146231058160573}",20,0,-46.55680618107908,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.18, 'e': 0.7117703227626097}",30,0,22.27228244456596,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.18, 'e': 0.7089289280495107}",30,0,-142.34330143929262,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
88,False,"{'a': 0.18, 'e': 0.7060988762143844}",35,3,-97.90302319273295,"{0: 23, 1: 2, 2: 4, 3: 2, 4: 1}",1
89,False,"{'a': 0.18, 'e': 0.7032801219763409}",25,0,-13.854921339637372,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.18, 'e': 0.7004726202352524}",20,0,-75.35920198818997,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.18, 'e': 0.697676326071031}",30,0,-91.43184328431795,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
92,False,"{'a': 0.18, 'e': 0.6948911947429106}",25,0,-19.444569045077884,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.18, 'e': 0.6921171816887304}",20,0,1.938744550020123,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.18, 'e': 0.6893542425242224}",30,12,-45.88081780082189,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
95,False,"{'a': 0.18, 'e': 0.686602333042301}",30,0,-61.21502196218567,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
96,False,"{'a': 0.18, 'e': 0.6838614092123558}",25,0,-76.54909233885923,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
97,False,"{'a': 0.18, 'e': 0.6811314271795471}",25,0,-106.23135217619239,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.18, 'e': 0.678412343264104}",20,0,-75.18688510010763,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.18, 'e': 0.675704113960626}",35,0,-53.1465638145915,"{0: 26, 1: 1, 2: 7, 3: 1, 4: 0}",0
100,False,"{'a': 0.18, 'e': 0.6730066959373864}",20,0,-43.85107545532153,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.18, 'e': 0.6703200460356393}",30,0,-83.25144898637252,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 0.18, 'e': 0.6676441212689289}",25,2,-14.769981952942391,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.18, 'e': 0.6649788788224019}",25,0,-57.5834411750221,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.18, 'e': 0.6623242760521222}",30,18,-4.183462420248525,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.18, 'e': 0.659680270484389}",30,0,-60.689617923047614,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
106,False,"{'a': 0.18, 'e': 0.6570468198150567}",20,0,-117.74591907072345,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
107,False,"{'a': 0.18, 'e': 0.6544238819088586}",20,0,-76.89940344266815,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.18, 'e': 0.651811414798732}",25,17,2.7564865857200935,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.18, 'e': 0.6492093766851474}",25,0,-19.72997781934062,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.18, 'e': 0.6466177259354396}",20,0,-55.05637405621139,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
111,False,"{'a': 0.18, 'e': 0.6440364210831414}",20,0,-51.03755702611947,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 0.18, 'e': 0.6414654208273198}",25,9,-44.02426586114804,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
113,False,"{'a': 0.18, 'e': 0.6389046840319162}",30,21,-18.518003312188803,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.18, 'e': 0.6363541697250871}",20,0,-56.55988538332393,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
115,False,"{'a': 0.18, 'e': 0.633813837098549}",25,15,-45.16068868481945,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 0}",1
116,False,"{'a': 0.18, 'e': 0.631283645506926}",20,0,-0.7634942582144577,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.18, 'e': 0.6287635544670984}",25,0,-50.71161721379556,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
118,False,"{'a': 0.18, 'e': 0.6262535236575559}",20,0,-0.49741969147214593,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.18, 'e': 0.623753512917752}",35,24,15.107065306368854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.18, 'e': 0.6212634822474616}",25,4,-60.347961578661824,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 0}",1
121,False,"{'a': 0.18, 'e': 0.6187833918061408}",35,7,-26.312078239764784,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.18, 'e': 0.6163132019122897}",20,5,24.354234809663236,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.18, 'e': 0.6138528730428171}",20,0,-140.8287855134271,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
124,False,"{'a': 0.18, 'e': 0.6114023658324087}",25,0,-48.41361363386212,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
125,False,"{'a': 0.18, 'e': 0.6089616410728969}",20,5,-80.48158770824402,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
126,False,"{'a': 0.18, 'e': 0.6065306597126334}",20,0,-95.45755517906889,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
127,False,"{'a': 0.18, 'e': 0.6041093828558647}",25,0,-189.9985944192716,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
128,False,"{'a': 0.18, 'e': 0.6016977717621094}",35,0,-115.70092341137317,"{0: 27, 1: 0, 2: 5, 3: 1, 4: 2}",0
129,False,"{'a': 0.18, 'e': 0.5992957878455384}",20,0,-125.01867998807964,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
130,False,"{'a': 0.18, 'e': 0.596903392674358}",20,0,-61.028589179838946,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.18, 'e': 0.5945205479701944}",30,3,-192.1033795190614,"{0: 11, 1: 2, 2: 12, 3: 0, 4: 2}",1
132,False,"{'a': 0.18, 'e': 0.5921472156074813}",30,0,-183.69033676703106,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
133,False,"{'a': 0.18, 'e': 0.5897833576128504}",25,0,-52.31065683673344,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.18, 'e': 0.5874289361645234}",20,0,-65.30043198394378,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.18, 'e': 0.5850839135917069}",25,0,-141.1788098185363,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
136,False,"{'a': 0.18, 'e': 0.5827482523739896}",20,0,-35.04628356756021,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
137,False,"{'a': 0.18, 'e': 0.5804219151407424}",20,0,-102.05774230986735,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.18, 'e': 0.5781048646705196}",20,0,-137.25639515221053,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
139,False,"{'a': 0.18, 'e': 0.5757970638904645}",30,0,-56.72779866703519,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
140,False,"{'a': 0.18, 'e': 0.5734984758757153}",30,0,-127.60161972632821,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",1
141,False,"{'a': 0.18, 'e': 0.5712090638488149}",30,4,-124.2158123936156,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 2}",1
142,False,"{'a': 0.18, 'e': 0.5689287911791218}",20,0,-27.017455691103965,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
143,False,"{'a': 0.18, 'e': 0.5666576213822246}",20,0,-13.895320228800063,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
144,False,"{'a': 0.18, 'e': 0.5643955181193583}",20,0,4.701842431766819,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.18, 'e': 0.5621424451968224}",25,3,-36.12994091132817,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.18, 'e': 0.559898366565402}",20,0,-95.40651657876816,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
147,False,"{'a': 0.18, 'e': 0.5576632463197913}",25,0,-84.06385565916692,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
148,False,"{'a': 0.18, 'e': 0.5554370486980182}",25,0,-24.150250274944856,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
149,False,"{'a': 0.18, 'e': 0.5532197380808739}",25,0,-115.1280636793414,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
150,False,"{'a': 0.18, 'e': 0.5510112789913407}",25,0,-121.99352748678493,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
151,False,"{'a': 0.18, 'e': 0.5488116360940264}",25,0,-46.853689248258185,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
152,False,"{'a': 0.18, 'e': 0.5466207741945976}",20,8,-28.82588431409109,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
153,False,"{'a': 0.18, 'e': 0.5444386582392171}",20,0,-49.19717804344203,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
154,False,"{'a': 0.18, 'e': 0.5422652533139832}",20,14,-3.8260781189264157,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.18, 'e': 0.5401005246443706}",25,6,32.95427270598806,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.18, 'e': 0.5379444375946745}",25,0,-103.54587494963708,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
157,False,"{'a': 0.18, 'e': 0.535796957667456}",25,0,-173.93903639202247,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
158,False,"{'a': 0.18, 'e': 0.5336580505029906}",30,6,-47.52550017412216,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 0}",1
159,False,"{'a': 0.18, 'e': 0.5315276818787179}",20,0,-5.045956424187881,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.18, 'e': 0.5294058177086945}",25,0,-19.118209428102173,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
161,False,"{'a': 0.18, 'e': 0.5272924240430485}",30,0,-70.42974766672194,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
162,False,"{'a': 0.18, 'e': 0.5251874670674361}",30,16,-10.66418946780527,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
163,False,"{'a': 0.18, 'e': 0.5230909131025008}",20,14,9.849780072031804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.18, 'e': 0.5210027286033344}",25,0,-91.12502747921185,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
165,False,"{'a': 0.18, 'e': 0.5189228801589404}",20,0,-8.627208179507651,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.18, 'e': 0.5168513344916992}",30,0,-71.06745191197433,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
167,False,"{'a': 0.18, 'e': 0.5147880584568362}",20,10,-11.217128918666665,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.18, 'e': 0.5127330190418905}",25,5,-105.31010906090663,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
169,False,"{'a': 0.18, 'e': 0.5106861833661879}",20,2,-49.8827768729882,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
170,False,"{'a': 0.18, 'e': 0.5086475186803137}",20,0,10.269079709558975,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.18, 'e': 0.5066169923655895}",30,18,7.7750553412188586,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.18, 'e': 0.5045945719335512}",25,5,1.2197381733081625,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
173,False,"{'a': 0.18, 'e': 0.5025802250254283}",25,0,-80.3042375751049,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
174,False,"{'a': 0.18, 'e': 0.5005739194116277}",20,14,11.24330857322478,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.18, 'e': 0.4985756229912165}",20,10,-23.503567158356514,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.18, 'e': 0.49658530379140947}",30,0,5.476766934543324,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
177,False,"{'a': 0.18, 'e': 0.494602929967057}",25,0,-39.399029648450046,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
178,False,"{'a': 0.18, 'e': 0.49262846980013547}",20,9,16.347505871602667,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.18, 'e': 0.4906618916992401}",20,0,20.394614461599577,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.18, 'e': 0.4887031641990795}",25,3,-55.81596111462111,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
181,False,"{'a': 0.18, 'e': 0.4867522559599717}",20,0,-8.133531275327625,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
182,False,"{'a': 0.18, 'e': 0.48480913576734325}",25,0,-30.14508749634557,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
183,False,"{'a': 0.18, 'e': 0.48287377253122976}",25,11,14.19409051892494,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.18, 'e': 0.480946135285778}",25,11,-57.981734114451356,"{0: 7, 1: 6, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.18, 'e': 0.4790261931887511}",25,13,-64.92148147146487,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
186,False,"{'a': 0.18, 'e': 0.4771139155210344}",20,0,17.992816910777922,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
187,False,"{'a': 0.18, 'e': 0.47520927168614446}",20,0,-79.84939696440563,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
188,False,"{'a': 0.18, 'e': 0.4733122312097393}",20,0,-132.81534112004275,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
189,False,"{'a': 0.18, 'e': 0.4714227637391309}",20,0,-46.905540676645174,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
190,False,"{'a': 0.18, 'e': 0.46954083904279925}",35,12,1.5971759132249224,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
191,False,"{'a': 0.18, 'e': 0.46766642700990924}",20,0,-46.664822059307376,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
192,False,"{'a': 0.18, 'e': 0.46579949764982825}",25,8,-38.7546786822933,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
193,False,"{'a': 0.18, 'e': 0.4639400210916467}",20,0,-23.012952997507863,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
194,False,"{'a': 0.18, 'e': 0.4620879675837}",30,0,8.282727483665486,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
195,False,"{'a': 0.18, 'e': 0.46024330749309256}",25,17,15.056716374468621,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.18, 'e': 0.4584060113052235}",20,6,2.085096851402077,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.18, 'e': 0.4565760496233147}",20,14,6.8231987361433095,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.18, 'e': 0.45475339316794017}",25,12,-26.45649650921273,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
199,False,"{'a': 0.18, 'e': 0.4529380127765577}",20,9,8.477103302491113,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.18, 'e': 0.45112987940304233}",25,8,-110.375796263455,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
201,False,"{'a': 0.18, 'e': 0.44932896411722156}",20,5,12.506972161993048,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.18, 'e': 0.44753523810441237}",30,13,13.647215901669911,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.18, 'e': 0.4457486726649602}",20,8,-32.16386869115147,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
204,False,"{'a': 0.18, 'e': 0.44396923921378006}",30,7,-98.72451722983271,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 1}",1
205,False,"{'a': 0.18, 'e': 0.44219690927989863}",20,0,-32.61682678537236,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
206,False,"{'a': 0.18, 'e': 0.44043165450599925}",30,13,-4.690176194046323,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
207,False,"{'a': 0.18, 'e': 0.4386734466479678}",20,0,-52.402587104046724,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
208,False,"{'a': 0.18, 'e': 0.43692225757444114}",20,0,2.883420703625495,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
209,False,"{'a': 0.18, 'e': 0.43517805926635666}",25,14,17.90424457318326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.18, 'e': 0.4334408238165043}",35,11,26.99231900578189,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.18, 'e': 0.43171052342907973}",25,9,-35.62911278406501,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
212,False,"{'a': 0.18, 'e': 0.4299871304192398}",20,9,-11.881917883416726,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.18, 'e': 0.4282706172126597}",20,0,-34.66504867154699,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
214,False,"{'a': 0.18, 'e': 0.4265609563450914}",30,0,-86.89478832309885,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
215,False,"{'a': 0.18, 'e': 0.42485812046192456}",20,0,23.57856740595523,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
216,False,"{'a': 0.18, 'e': 0.4231620823177488}",25,0,-77.28043237510629,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
217,False,"{'a': 0.18, 'e': 0.42147281477591764}",20,0,-28.274105335186093,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
218,False,"{'a': 0.18, 'e': 0.41979029080811425}",20,0,19.92546465051655,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
219,False,"{'a': 0.18, 'e': 0.41811448349391933}",25,0,-35.177129495443445,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
220,False,"{'a': 0.18, 'e': 0.41644536602038007}",30,0,-54.088587620292806,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
221,False,"{'a': 0.18, 'e': 0.4147829116815814}",25,0,-63.20045655338289,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
222,False,"{'a': 0.18, 'e': 0.4131270938782182}",20,2,-13.6429462198584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
223,False,"{'a': 0.18, 'e': 0.41147788611717057}",25,3,-12.621214467715006,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
224,False,"{'a': 0.18, 'e': 0.40983526201107895}",30,0,-58.895189625727845,"{0: 24, 1: 0, 2: 3, 3: 3, 4: 0}",0
225,False,"{'a': 0.18, 'e': 0.4081991952779227}",20,6,-21.18111252231895,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
226,False,"{'a': 0.18, 'e': 0.4065696597405991}",30,0,-8.273138873566507,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
227,False,"{'a': 0.18, 'e': 0.4049466293265049}",25,1,-51.17454326610341,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
228,False,"{'a': 0.18, 'e': 0.40333007806711874}",20,2,-24.30252491557734,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
229,False,"{'a': 0.18, 'e': 0.401719980097586}",20,8,0.9480936961701503,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
